Município;2016;2017;2018;2019;2020;2021;2022;2023;media
352260 ITAPIRA;11799;12167;12550;12928;13289;13571;13858;14207;13046,125
352265 ITAPIRAPUA PAULISTA;474;486;495;504;516;526;541;549;511,375
352270 ITAPOLIS;6843;6997;7159;7335;7501;7632;7772;7967;7400,75
352280 ITAPORANGA;2419;2481;2551;2621;2681;2730;2775;2830;2636
352290 ITAPUI;1749;1804;1877;1940;2002;2057;2110;2172;1963,875
352300 ITAPURA;666;692;717;741;765;784;807;824;749,5
352310 ITAQUAQUECETUBA;29052;30939;32903;34940;36977;38906;40871;43034;35952,75
352320 ITARARE;6667;6843;7016;7206;7371;7499;7633;7814;7256,125
352330 ITARIRI;2140;2220;2300;2390;2473;2545;2621;2711;2425
352340 ITATIBA;15046;15800;16603;17431;18258;18995;19756;20604;17811,625
352350 ITATINGA;2064;2134;2209;2297;2374;2438;2511;2598;2328,125
352360 ITIRAPINA;1883;1947;2013;2073;2131;2187;2243;2316;2099,125
352370 ITIRAPUA;911;939;962;986;1011;1021;1035;1056;990,125
352380 ITOBI;1178;1222;1271;1325;1376;1415;1455;1501;1342,875
352390 ITU;21009;21890;22812;23771;24699;25515;26339;27287;24165,25
352400 ITUPEVA;5212;5609;6028;6469;6918;7355;7815;8329;6716,875
352410 ITUVERAVA;6587;6768;6952;7134;7300;7431;7549;7702;7177,875
352420 JABORANDI;989;1011;1038;1067;1096;1117;1138;1172;1078,5
352430 JABOTICABAL;11925;12299;12677;13064;13422;13707;13992;14339;13178,125
352440 JACAREI;31065;32508;33976;35459;36897;38176;39474;40983;36067,25
352450 JACI;768;811;856;902;954;999;1047;1097;929,25
352460 JACUPIRANGA;2422;2490;2560;2632;2692;2745;2797;2872;2651,25
352470 JAGUARIUNA;6279;6620;6988;7377;7760;8120;8480;8874;7562,25
352480 JALES;8974;9237;9504;9786;10049;10267;10484;10760;9882,625
352490 JAMBEIRO;847;891;952;1003;1060;1108;1161;1213;1029,375
352500 JANDIRA;10235;10892;11559;12244;12919;13560;14216;14949;12571,75
352510 JARDINOPOLIS;5439;5659;5887;6113;6345;6535;6734;6967;6209,875
352520 JARINU;3586;3822;4077;4355;4633;4895;5160;5450;4497,25
352530 JAU;20809;21541;22295;23071;23808;24423;25032;25750;23341,125
352540 JERIQUARA;406;423;437;450;467;481;492;504;457,5
352550 JOANOPOLIS;2060;2129;2204;2279;2350;2409;2465;2536;2304
352560 JOAO RAMALHO;543;564;587;613;642;664;690;712;626,875
352570 JOSE BONIFACIO;5110;5287;5479;5676;5874;6046;6216;6424;5764
352580 JULIO MESQUITA;684;695;718;733;751;763;784;800;741
352585 JUMIRIM;393;405;422;440;460;475;484;496;446,875
352590 JUNDIAI;62179;64712;67332;70004;72567;74814;77059;79694;71045,125
352600 JUNQUEIROPOLIS;3422;3504;3588;3675;3755;3809;3879;3972;3700,5
352610 JUQUIA;2980;3055;3136;3219;3294;3351;3411;3489;3241,875
352620 JUQUITIBA;3679;3825;3975;4129;4275;4401;4533;4684;4187,625
352630 LAGOINHA;1000;1027;1056;1093;1132;1161;1183;1218;1108,75
352640 LARANJAL PAULISTA;4224;4340;4456;4573;4683;4769;4849;4963;4607,125
352650 LAVINIA;974;998;1020;1040;1060;1077;1099;1127;1049,375
352660 LAVRINHAS;751;791;820;860;899;930;965;1002;877,25
352670 LEME;12598;13074;13559;14057;14530;14944;15370;15897;14253,625
352680 LENCOIS PAULISTA;8413;8759;9126;9514;9882;10216;10542;10931;9672,875
352690 LIMEIRA;41101;42788;44528;46304;48003;49472;50926;52584;46963,25
352700 LINDOIA;1107;1150;1195;1245;1293;1329;1367;1412;1262,25
352710 LINS;12182;12552;12938;13320;13676;13961;14257;14633;13439,875
352720 LORENA;12852;13301;13759;14230;14673;15046;15424;15878;14395,375
352725 LOURDES;423;437;446;453;466;475;483;482;458,125
352730 LOUVEIRA;4082;4357;4648;4958;5267;5559;5859;6189;5114,875
352740 LUCELIA;3371;3467;3567;3672;3782;3870;3960;4084;3721,625
352750 LUCIANOPOLIS;444;461;474;485;496;502;507;507;484,5
352760 LUIS ANTONIO;1184;1258;1340;1421;1505;1581;1654;1735;1459,75
352770 LUIZIANIA;750;759;785;806;823;837;856;877;811,625
352780 LUPERCIO;692;705;721;738;752;763;781;802;744,25
352790 LUTECIA;461;472;484;500;517;526;541;552;506,625
352800 MACATUBA;2216;2301;2382;2470;2557;2630;2714;2812;2510,25
352810 MACAUBAL;1607;1655;1695;1742;1785;1811;1837;1878;1751,25
352820 MACEDONIA;768;794;819;846;873;891;916;942;856,125
352830 MAGDA;690;711;726;751;770;785;797;810;755
352840 MAIRINQUE;5889;6186;6496;6823;7144;7437;7735;8073;6972,875
352850 MAIRIPORA;11019;11652;12302;12988;13665;14295;14925;15616;13307,75
352860 MANDURI;1552;1610;1667;1722;1780;1823;1872;1923;1743,625
352870 MARABA PAULISTA;582;600;621;643;667;684;709;737;655,375
352880 MARACAI;2013;2067;2121;2177;2224;2267;2309;2369;2193,375
352885 MARAPOAMA;476;494;518;539;556;573;587;599;542,75
352890 MARIAPOLIS;670;685;699;722;737;755;772;798;729,75
352900 MARILIA;36290;37535;38821;40130;41372;42410;43460;44716;40591,75
352910 MARINOPOLIS;340;352;366;382;394;410;423;431;387,25
352920 MARTINOPOLIS;3895;4001;4127;4251;4370;4479;4585;4735;4305,375
352930 MATAO;11491;11968;12458;12955;13429;13839;14253;14733;13140,75
352940 MAUA;46139;48293;50470;52663;54782;56671;58591;60795;53550,5
352950 MENDONCA;906;940;977;1017;1060;1090;1126;1170;1035,75
352960 MERIDIANO;723;752;783;815;845;874;898;933;827,875
352965 MESOPOLIS;334;340;346;358;363;368;381;384;359,25
352970 MIGUELOPOLIS;2724;2803;2882;2957;3033;3095;3167;3259;2990
352980 MINEIROS DO TIETE;1772;1836;1888;1945;1995;2038;2083;2138;1961,875
352990 MIRACATU;2857;2945;3030;3120;3205;3274;3349;3446;3153,25
353000 MIRA ESTRELA;613;642;674;706;741;766;790;812;718
353010 MIRANDOPOLIS;4812;4942;5076;5214;5339;5444;5560;5714;5262,625
353020 MIRANTE DO PARANAPANEMA;2939;3011;3093;3182;3261;3331;3407;3511;3216,875
353030 MIRASSOL;8951;9290;9646;10017;10375;10686;11012;11415;10174
353040 MIRASSOLANDIA;782;803;822;839;858;869;886;912;846,375
353050 MOCOCA;11364;11763;12164;12574;12954;13273;13595;13980;12708,375
353060 MOGI DAS CRUZES;52357;54863;57466;60142;62761;65132;67553;70345;61327,375
353070 MOGI GUACU;20879;21769;22681;23614;24511;25309;26103;27021;23985,875
353080 MOGI MIRIM;14285;14845;15414;15999;16559;17040;17524;18088;16219,25
353090 MOMBUCA;426;440;457;480;499;515;535;550;487,75
353100 MONCOES;451;468;479;492;504;510;518;529;493,875
353110 MONGAGUA;9471;10085;10739;11438;12140;12771;13391;14010;11755,625
353120 MONTE ALEGRE DO SUL;1425;1498;1582;1672;1765;1852;1933;2010;1717,125
353130 MONTE ALTO;8235;8493;8765;9029;9282;9487;9695;9949;9116,875
353140 MONTE APRAZIVEL;3950;4063;4176;4289;4392;4471;4558;4664;4320,375
353150 MONTE AZUL PAULISTA;3136;3225;3316;3416;3506;3575;3650;3744;3446
353160 MONTE CASTELO;820;836;856;877;892;907;920;936;880,5
353170 MONTEIRO LOBATO;714;729;758;784;814;837;866;892;799,25
353180 MONTE MOR;5998;6318;6659;7014;7361;7681;8012;8381;7178
353190 MORRO AGUDO;3424;3556;3689;3830;3965;4078;4206;4358;3888,25
353200 MORUNGABA;1720;1787;1857;1930;2001;2058;2124;2203;1960
353205 MOTUCA;590;615;635;661;685;705;728;746;670,625
353210 MURUTINGA DO SUL;889;904;918;931;941;950;963;981;934,625
353215 NANTES;324;334;342;352;363;373;386;395;358,625
353220 NARANDIBA;570;599;630;661;700;729;761;796;680,75
