Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350850 CACAPAVA;8513;8908;9319;9747;10180;10639;11117;11622;12148;12697;13261;13844;14447;15028;15556;16075;16678;17304;17901
350860 CACHOEIRA PAULISTA;3475;3598;3723;3855;3991;4134;4281;4431;4591;4752;4912;5082;5255;5423;5562;5713;5899;6095;6299
350870 CACONDE;2449;2524;2596;2674;2748;2824;2911;2991;3079;3167;3255;3349;3449;3541;3616;3684;3770;3857;3981
350880 CAFELANDIA;2323;2379;2426;2487;2544;2599;2658;2720;2782;2843;2912;2982;3053;3114;3160;3214;3281;3363;3441
350890 CAIABU;599;615;620;635;644;659;669;680;692;704;725;746;770;791;806;826;854;877;906
350900 CAIEIRAS;5817;6156;6518;6907;7320;7761;8232;8725;9243;9788;10354;10942;11545;12150;12711;13295;13971;14657;15379
350910 CAIUA;616;640;668;697;718;740;759;775;788;807;832;851;874;902;922;948;986;1019;1058
350920 CAJAMAR;3659;3842;4042;4260;4520;4822;5160;5512;5895;6299;6733;7197;7684;8181;8656;9155;9705;10291;10725
350925 CAJATI;2761;2829;2906;2990;3079;3164;3264;3367;3473;3580;3689;3799;3912;4019;4109;4199;4321;4451;4600
350930 CAJOBI;1259;1302;1346;1386;1425;1464;1504;1546;1590;1635;1678;1727;1776;1825;1861;1897;1947;1996;2053
350940 CAJURU;2686;2766;2844;2923;3001;3073;3160;3247;3338;3433;3541;3650;3769;3880;3973;4071;4189;4315;4454
350945 CAMPINA DO MONTE ALEGRE;644;661;683;705;725;750;774;802;831;863;896;929;961;996;1022;1056;1090;1127;1169
350950 CAMPINAS;121801;126343;131116;136031;141107;146391;151952;157755;163752;169926;176240;182615;188991;195016;200081;205082;211014;217232;223696
350960 CAMPO LIMPO PAULISTA;5926;6230;6554;6901;7272;7662;8074;8491;8929;9386;9855;10329;10805;11268;11671;12066;12506;12962;13438
350970 CAMPOS DO JORDAO;3903;4044;4192;4359;4543;4743;4949;5157;5382;5609;5853;6101;6354;6601;6819;7046;7306;7585;7898
350980 CAMPOS NOVOS PAULISTA;599;617;630;654;663;680;693;712;724;745;770;790;808;832;851;868;890;911;945
