 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"353350 NOVO HORIZONTE";6695;6677;6654;6630;6613
"353360 NUPORANGA";1258;1261;1271;1282;1295
"353370 OCAUCU";797;793;797;800;805
"353380 OLEO";444;436;426;421;417
"353390 OLIMPIA";9397;9462;9514;9550;9569
"353400 ONDA VERDE";821;830;842;848;860
"353410 ORIENTE";977;972;963;964;969
"353420 ORINDIUVA";1190;1185;1179;1178;1174
"353430 ORLANDIA";6932;6821;6712;6615;6532
"353440 OSASCO";135091;134960;134627;134252;133730
"353450 OSCAR BRESSANE";400;399;396;393;387
"353460 OSVALDO CRUZ";4565;4548;4544;4559;4586
"353470 OURINHOS";19194;19041;18885;18745;18614
"353475 OUROESTE";1626;1648;1670;1690;1709
"353480 OURO VERDE";1517;1501;1489;1484;1488
"353490 PACAEMBU";1627;1597;1578;1562;1553
"353500 PALESTINA";1879;1890;1900;1910;1928
"353510 PALMARES PAULISTA";2187;2147;2098;2041;1980
"353520 PALMEIRA D'OESTE";1357;1320;1292;1268;1254
"353530 PALMITAL";3451;3387;3325;3267;3211
"353540 PANORAMA";3096;3073;3056;3037;3019
"353550 PARAGUACU PAULISTA";7680;7597;7527;7487;7464
"353560 PARAIBUNA";3241;3193;3156;3139;3137
"353570 PARAISO";1052;1042;1032;1021;1007
"353580 PARANAPANEMA";3761;3734;3721;3731;3754
"353590 PARANAPUA";641;638;633;639;646
"353600 PARAPUA";1716;1694;1670;1657;1648
"353610 PARDINHO";1312;1321;1335;1341;1342
"353620 PARIQUERA-ACU";3808;3775;3740;3711;3686
"353625 PARISI";383;396;412;426;443
"353630 PATROCINIO PAULISTA";2795;2813;2819;2824;2822
"353640 PAULICEIA";1428;1453;1476;1499;1530
"353650 PAULINIA";18549;18920;19215;19425;19560
"353657 PAULISTANIA";324;325;325;331;342
"353660 PAULO DE FARIA";1422;1371;1329;1289;1252
"353670 PEDERNEIRAS";8412;8386;8346;8307;8252
"353680 PEDRA BELA";1032;1032;1029;1030;1030
"353690 PEDRANOPOLIS";412;409;409;408;401
"353700 PEDREGULHO";3082;3042;3003;2962;2920
"353710 PEDREIRA";7176;7108;7040;6983;6938
"353715 PEDRINHAS PAULISTA";462;448;438;431;429
"353720 PEDRO DE TOLEDO";2364;2352;2332;2308;2277
"353730 PENAPOLIS";10315;10331;10350;10399;10464
"353740 PEREIRA BARRETO";4392;4339;4287;4237;4188
"353750 PEREIRAS";1572;1591;1601;1610;1623
"353760 PERUIBE";13009;12963;12892;12805;12693
"353770 PIACATU";941;941;936;930;919
"353780 PIEDADE";9905;9776;9655;9556;9459
"353790 PILAR DO SUL";5388;5338;5293;5266;5251
"353800 PINDAMONHANGABA";30437;30462;30491;30581;30688
"353810 PINDORAMA";2463;2445;2416;2384;2348
"353820 PINHALZINHO";2428;2429;2432;2433;2428
"353830 PIQUEROBI";574;562;549;538;531
"353850 PIQUETE";2314;2262;2210;2162;2115
"353860 PIRACAIA";4430;4361;4303;4260;4224
"353870 PIRACICABA";69035;69442;69751;70048;70263
"353880 PIRAJU";5194;5147;5104;5076;5056
"353890 PIRAJUI";3442;3414;3378;3343;3306
"353900 PIRANGI";1662;1656;1656;1664;1673
"353910 PIRAPORA DO BOM JESUS";3980;3973;3965;3967;3967
"353920 PIRAPOZINHO";4371;4335;4315;4313;4326
"353930 PIRASSUNUNGA";12538;12509;12476;12456;12437
"353940 PIRATININGA";2303;2349;2409;2476;2546
"353950 PITANGUEIRAS";7364;7209;7052;6902;6753
"353960 PLANALTO";907;896;875;854;833
"353970 PLATINA";641;630;618;609;604
"353980 POA";21442;21131;20811;20501;20186
"353990 POLONI";957;964;966;964;959
"354000 POMPEIA";3408;3380;3362;3359;3369
"354010 PONGAI";491;492;492;493;495
"354020 PONTAL";8772;8606;8416;8204;7973
"354025 PONTALINDA";803;800;798;795;791
"354030 PONTES GESTAL";421;416;413;416;419
"354040 POPULINA";692;690;689;683;680
"354050 PORANGABA";1578;1586;1595;1606;1622
"354060 PORTO FELIZ";9512;9533;9556;9604;9651
"354070 PORTO FERREIRA";9597;9513;9403;9268;9116
"354075 POTIM";3885;3847;3815;3783;3756
"354080 POTIRENDABA";2809;2871;2933;2995;3059
"354085 PRACINHA";281;274;270;262;259
"354090 PRADOPOLIS";3449;3412;3361;3297;3225
"354100 PRAIA GRANDE";60288;61192;61900;62406;62712
"354105 PRATANIA";1009;1012;1012;1013;1018
"354110 PRESIDENTE ALVES";698;689;682;678;675
"354120 PRESIDENTE BERNARDES";1859;1826;1802;1795;1796
"354130 PRESIDENTE EPITACIO";7704;7562;7427;7307;7195
"354140 PRESIDENTE PRUDENTE";36757;36672;36614;36662;36766
